Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,NumWebVisitsMonth,Complain,Response,Days_is_client,Kids,Expenses,TotalAcceptedCmp,TotalNumPurchases
1957,Graduate,Single,58138,9/4/2012,58,7,0,1,663,0,1617,0,25
1954,Graduate,Single,46344,3/8/2014,38,5,0,0,113,2,27,0,6
1965,Graduate,Partner,71613,8/21/2013,26,4,0,0,312,0,776,0,21
1984,Graduate,Partner,26646,2/10/2014,26,6,0,0,139,1,53,0,8
1981,Postgraduate,Partner,58293,1/19/2014,94,5,0,0,161,1,422,0,19
1967,Postgraduate,Partner,62513,9/9/2013,16,6,0,0,293,1,716,0,22
1971,Graduate,Single,55635,11/13/2012,34,6,0,0,593,1,590,0,21
1985,Postgraduate,Partner,33454,5/8/2013,32,8,0,0,417,1,169,0,10
1974,Postgraduate,Partner,30351,6/6/2013,19,9,0,1,388,1,46,0,6
1950,Postgraduate,Partner,5648,3/13/2014,68,20,0,0,108,2,49,1,2
1976,Undergraduate,Partner,7500,11/13/2012,59,8,0,0,593,0,61,0,6
1959,Graduate,Single,63033,11/15/2013,82,2,0,0,226,0,1102,0,16
1952,Postgraduate,Single,59354,11/15/2013,53,6,0,0,226,2,310,0,15
1987,Graduate,Partner,17323,10/10/2012,38,8,0,0,627,0,46,0,5
1946,Postgraduate,Single,82800,11/24/2012,23,3,0,1,582,0,1315,2,26
1980,Graduate,Partner,41850,12/24/2012,51,8,0,0,552,2,96,0,9
1946,Graduate,Partner,37760,8/31/2012,20,7,0,0,667,0,317,0,13
1949,Postgraduate,Partner,76995,3/28/2013,91,5,0,0,458,1,1782,1,26
1985,Graduate,Single,33812,11/3/2012,86,6,0,0,603,1,133,0,8
1982,Graduate,Partner,37040,8/8/2012,41,8,0,0,690,0,316,0,12
1979,Graduate,Partner,2447,1/6/2013,42,1,0,0,539,1,1730,0,43
1949,Postgraduate,Partner,58607,12/23/2012,63,8,0,0,553,1,972,1,17
1954,Postgraduate,Partner,65324,1/11/2014,0,4,0,0,169,1,544,0,20
1951,Graduate,Partner,40689,3/18/2013,69,8,0,0,468,1,444,0,20
1969,Graduate,Single,18589,1/2/2013,89,7,0,0,543,0,75,0,8
1976,Graduate,Partner,53359,5/27/2013,4,7,0,0,398,2,257,0,14
1989,Graduate,Partner,38360,5/31/2013,26,3,0,0,394,1,131,0,9
1965,Postgraduate,Partner,84618,11/22/2013,96,2,0,0,219,0,1672,1,26
1989,Postgraduate,Single,10979,5/22/2014,34,5,0,0,38,0,30,0,8
1963,Postgraduate,Partner,38620,5/11/2013,56,3,0,0,414,0,318,0,11
1970,Graduate,Partner,40548,10/10/2012,31,5,0,0,627,1,120,1,9
1952,Postgraduate,Single,46610,10/29/2012,8,6,0,1,608,2,302,0,17
1946,Postgraduate,Partner,68657,2/20/2013,4,7,0,0,494,0,1196,0,18
1951,Postgraduate,Single,49389,8/29/2013,55,7,0,0,304,2,65,0,6
1970,Postgraduate,Partner,67353,12/31/2013,37,2,0,0,180,1,913,0,28
1976,Graduate,Partner,23718,9/2/2013,76,7,0,0,300,1,81,0,9
1973,Graduate,Single,42429,2/11/2014,99,5,0,0,138,1,67,0,7
1943,Postgraduate,Single,48948,2/1/2013,53,6,0,1,513,0,902,1,24
1980,Graduate,Partner,80011,4/29/2013,3,4,0,0,426,1,1395,0,21
1985,Postgraduate,Partner,20559,3/12/2013,88,8,0,0,474,1,53,0,7
1957,Graduate,Partner,21994,12/24/2012,4,5,0,0,552,1,22,0,4
1975,Postgraduate,Partner,7500,10/2/2013,19,5,0,0,270,1,31,0,8
1976,Graduate,Single,79941,6/28/2014,72,1,0,0,1,0,984,0,16
1996,Graduate,Partner,7500,11/9/2012,24,9,0,1,597,0,122,0,10
1968,Graduate,Partner,41728,5/24/2013,92,10,0,0,401,1,55,0,5
1954,Postgraduate,Partner,72550,11/8/2012,39,8,0,0,598,2,1319,0,28
1957,Graduate,Single,65486,5/12/2014,29,2,0,0,48,1,507,0,17
1964,Postgraduate,Partner,79143,8/11/2012,2,3,0,0,687,0,1693,0,29
1977,Graduate,Single,35790,1/2/2013,54,7,0,0,543,1,72,0,7
1977,Graduate,Single,82582,6/7/2014,54,1,0,1,22,0,1617,2,21
1978,Graduate,Partner,66373,6/12/2013,57,3,0,0,382,2,606,0,23
1955,Postgraduate,Partner,82384,11/19/2012,55,1,0,1,587,0,1957,1,27
1966,Graduate,Single,70287,4/2/2013,30,3,0,1,453,0,1093,0,21
1988,Graduate,Single,27938,4/28/2014,31,3,0,0,62,1,29,0,6
1968,Postgraduate,Partner,55954,3/3/2014,63,7,0,0,118,1,518,0,19
1982,Postgraduate,Single,75777,7/4/2013,12,1,0,1,360,0,1438,2,21
1975,Graduate,Partner,66653,9/7/2012,18,3,0,0,660,2,612,0,22
1952,Graduate,Single,61823,2/18/2013,26,7,0,0,496,1,884,0,24
1951,Postgraduate,Single,67680,6/11/2013,8,5,0,0,383,1,606,0,19
1948,Graduate,Partner,70666,12/6/2013,29,4,0,0,205,0,1076,0,16
1971,Graduate,Partner,25721,5/21/2013,75,7,0,1,404,1,34,0,5
1967,Graduate,Partner,32474,5/11/2014,0,7,0,0,49,2,11,0,4
1979,Graduate,Single,88194,3/19/2014,19,5,0,1,102,1,1274,2,32
1958,Graduate,Partner,69096,9/27/2013,4,4,0,0,275,1,653,0,18
1970,Graduate,Partner,74854,4/8/2013,90,5,0,0,447,3,1562,0,19
1954,Postgraduate,Partner,66991,9/11/2012,1,3,0,0,656,0,1253,0,21
1959,Graduate,Partner,65031,3/17/2013,29,7,0,0,469,1,863,0,30
